,city,duration,suit,title
0,北京/上海/深圳/广州/杭州/成都/南京/厦门/武汉,2天线下闭门培训+1年在线学习,适合1-3岁产品经理学习,产品经理实战训练营
1,全国开课,10周在线学习+1V1跟踪学习服务,专为大学生、职场新人打造的PM入行培训,产品经理就业特训营
2,北京/上海/深圳,2天线下闭门培训+1年在线学习,适合3-5年以上产品经理和产品决策者学习,产品总监修炼之道
3,北京/上海/深圳/广州/杭州/成都,2天线下闭门培训+1年在线学习,适合1-3岁运营经理学习,互联网运营实战训练营
4,北京/上海/深圳,2天线下闭门培训+1年在线学习,适合3-5年以上运营和市场/COO学习,运营总监修炼之道
5,北京/上海/深圳,2天线下闭门培训,适合3年以上品牌/营销/市场人员,营销增长修炼之道
6,直播+录播+作业+答疑+实战,90天在线学习,适合0-2岁产品经理,90天产品经理实战班
7,直播+录播+作业+答疑+实战,90天在线学习,适合0-2岁互联网运营,90天互联网运营实战班
8,,,6周玩转Axure核心技能,Axure原型实战班
9,,,PRD/产品分析/竞品分析,产品经理文档必修课
10,,,阿里巴巴产品专家带你学,15天AI产品经理入门课
11,,,学习产品经理必知的技术知识,产品经理的技术必修课
12,,,零基础学文案，4周掌握核心技能,文案训练营
13,,,一门课程掌握CRM系统设计,CRM系统设计入门
14,,,3周掌握电商后台产品核心逻辑,电商后台产品全解析
15,,,产品经理和运营的数据意识必修课,互联网数据分析入门
16,,,前51产品副总裁带你学区块链,从零开始了解区块链
17,,,零基础学会APP产品设计,30天教你做一个APP
18,,,提前了解法律，避免跳坑高额赔偿,互联网人的法律必修课
19,,,腾讯高级用研经理带你学,用户与市场研究必修课
20,,,4周掌握用户增长窍门,用户增长训练营
21,,,网易高级交互设计师带班,10天学会交互设计
